Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
XSSFExportToXml;78.0;1.0;21.0;1124;0;0;2
Borders;5.0;0;3.0;1124;0;0;3
TestDec2Bin;22.0;1.0;15.0;173;1;1;2
OutlookTextExtactor;6.0;4.0;6.0;1124;0;0;3
XDDFManualLayout;47.0;1.0;9.0;1124;0;0;3
HwmfObjectTableEntry;0;0;0;1124;0;0;3
TestXWPFDocument;25.0;1.0;29.0;1124;0;0;2
TestExternalReferenceChange;1.0;1.0;8.0;27;0;1;1
TestPropertySorter;7.0;1.0;10.0;81;0;1;1
LoadPasswordProtectedXlsxStreaming;4.0;1.0;5.0;1124;0;0;3
TestXWPFFootnote;5.0;1.0;9.0;1124;0;0;3
EmfPolyline16;2.0;4.0;4.0;1124;0;0;3
TestExcelAntPrecision;3.0;1.0;1.0;1124;0;0;3
Mode;22.0;1.0;13.0;1124;0;1;1
Indirect;37.0;1.0;16.0;1124;0;1;2
TestXMLSlideShow;15.0;2.0;19.0;1124;0;0;2
BarChartExample;7.0;1.0;16.0;1124;0;0;2
BarChart;6.0;1.0;29.0;1124;0;0;2
AllXSSFUsermodelTests;0.0;1.0;28.0;1124;0;0;2
PlainCellCache;5.0;1.0;4.0;1124;0;0;3
Footer;0;0;0;1124;0;1;1
TestAutoSizeColumnTracker;20.0;1.0;10.0;1124;0;0;3
TestXSLFFreeformShape;6.0;1.0;9.0;1124;0;0;3
Stub;2.0;2.0;4.0;11;0;0;0
AllHSLFModelTests;0.0;1.0;17.0;1124;0;0;2
FontPitch;7.0;0;12.0;1124;0;0;3
TestDirectoryNode;6.0;1.0;11.0;144;0;0;3
ParagraphFlagsTextProp;3.0;3.0;3.0;1124;0;0;3
UnicodeString;10.0;1.0;12.0;1124;0;1;1
HSSFPalette;17.0;1.0;16.0;1124;1;1;2
PaneRecord;20.0;4.0;9.0;1124;0;1;1
SerializerVisitor;3.0;1.0;4.0;16;0;0;0
FontBasisRecord;20.0;4.0;8.0;1124;0;1;1
TestHSSFCellUtil;1.0;2.0;2.0;5;0;0;0
DrawNothing;4.0;1.0;3.0;1124;0;0;3
