Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.jfree.chart.renderer.category.AreaRenderer,3,0,22,16,3,1,139,1,5,369,22
org.jfree.chart.renderer.category.BarRenderer,414,92,35,22,3,9,518,11,32,428,102
org.jfree.chart.renderer.category.BarRenderer3D,57,62,41,25,4,1,399,3,13,435,39
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,87,60,43,29,3,0,527,3,18,430,68
org.jfree.chart.renderer.category.CategoryItemRenderer,,,21,21,0,21,181,0,131,132,131
org.jfree.chart.renderer.category.CategoryItemRendererState,0,66,1,1,2,0,21,2,4,17,5
org.jfree.chart.renderer.category.CategoryStepRenderer,9,83,12,9,3,0,110,2,5,358,19
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,,,0,0,4,0,4,0,0,378,0
org.jfree.chart.renderer.category.GanttRenderer,42,85,24,16,5,0,344,4,11,409,49
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,0,0,29,17,5,0,231,1,6,427,33
org.jfree.chart.renderer.category.IntervalBarRenderer,3,,24,16,4,1,150,0,2,396,18
org.jfree.chart.renderer.category.LayeredBarRenderer,15,0,27,17,4,0,298,1,6,413,53
org.jfree.chart.renderer.category.LevelRenderer,56,50,25,17,3,0,201,2,12,383,34
org.jfree.chart.renderer.category.LineAndShapeRenderer,574,89,23,15,3,3,377,12,38,402,85
org.jfree.chart.renderer.category.LineRenderer3D,24,62,33,19,4,0,339,3,12,438,36
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,83,84,35,21,3,0,215,9,17,391,38
org.jfree.chart.renderer.category.StackedAreaRenderer,6,,16,13,4,0,98,0,3,362,12
org.jfree.chart.renderer.category.StackedBarRenderer,6,0,25,15,4,1,190,1,7,408,33
org.jfree.chart.renderer.category.StackedBarRenderer3D,13,0,24,14,5,0,223,1,7,429,39
org.jfree.chart.renderer.category.StatisticalBarRenderer,0,0,21,15,4,0,269,1,8,402,38
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0,0,29,19,4,0,197,1,6,417,34
