Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
EntityBlockParams;0;0;0;14;1;0;1
JFreeChartTest;15.0;1.0;19.0;182;0;0;2
YWithXInterval;10.0;1.0;2.0;81;0;0;0
CustomCategoryURLGenerator;22.0;1.0;4.0;138;1;0;1
NumberAxis;112.0;3.0;78.0;966;1;1;2
AreaRenderer;30.0;3.0;23.0;243;1;1;2
XYTextAnnotation;49.0;3.0;23.0;541;1;1;2
SymbolAxis;69.0;4.0;20.0;627;1;1;2
ValueTick;9.0;2.0;13.0;92;0;0;0
JFreeChart;154.0;1.0;121.0;1414;1;1;2
PaintUtils;16.0;1.0;69.0;134;0;1;2
XYBarRenderer;125.0;3.0;41.0;1056;1;1;2
MyLogarithmicAxis;2.0;5.0;2.0;182;0;0;3
WindDataset;0;0;0;31;1;1;2
CategoryDatasetHandler;9.0;3.0;6.0;80;1;0;1
DefaultTimeline;11.0;1.0;2.0;110;0;0;3
UIUtils;13.0;1.0;1.0;138;0;0;3
SimpleTimePeriod;20.0;1.0;8.0;163;1;0;1
MarkerChangeEvent;2.0;3.0;11.0;32;0;0;0
LongNeedleTest;3.0;1.0;2.0;182;0;0;3
XYStepAreaChartTest;5.0;1.0;12.0;182;0;0;3
AxisChangeListener;0;0;0;18;1;0;1
MovingAverage;32.0;1.0;11.0;252;0;1;1
ClusteredXYBarRenderer;33.0;4.0;21.0;272;1;1;2
StandardXYURLGeneratorTest;2.0;1.0;3.0;182;0;0;3
StandardXYZToolTipGeneratorTest;5.0;1.0;5.0;182;0;0;3
PlotEntity;16.0;2.0;6.0;147;0;1;1
PowerFunction2DTest;4.0;1.0;2.0;182;0;0;3
HistogramBinTest;3.0;1.0;2.0;182;0;0;3
VectorSeriesCollectionTest;5.0;1.0;5.0;182;0;0;3
ColumnArrangement;42.0;1.0;12.0;314;1;0;1
AbstractDataset;18.0;1.0;56.0;210;1;1;2
Zoomable;0;0;0;118;1;0;1
XYDataItemTest;3.0;1.0;2.0;182;0;0;3
IntervalCategoryToolTipGenerator;12.0;3.0;8.0;97;1;0;1
VectorDataItemTest;4.0;1.0;3.0;182;0;0;3
SpreadsheetDate;34.0;2.0;2.0;367;1;1;2
TimeSeriesURLGeneratorTest;4.0;1.0;4.0;182;0;0;3
LocalListener;1.0;1.0;3.0;182;0;0;3
AbstractCategoryItemRenderer;163.0;2.0;82.0;1476;1;1;2
DialTextAnnotation;29.0;2.0;12.0;309;1;1;2
WindNeedleTest;3.0;1.0;3.0;182;0;0;3
ArrowNeedle;12.0;2.0;6.0;111;1;1;2
LineFunction2D;9.0;1.0;4.0;83;1;1;2
XYCrosshairState;1.0;2.0;1.0;11;0;0;0
StandardCategoryItemLabelGenerator;8.0;2.0;12.0;89;1;0;1
XYShapeAnnotationTest;5.0;1.0;3.0;182;0;0;3
XYBarRendererState;3.0;3.0;4.0;31;0;0;0
XYItemKey;13.0;1.0;4.0;99;1;1;2
YIntervalRenderer;18.0;3.0;22.0;216;1;1;2
DefaultBoxAndWhiskerCategoryDataset;81.0;2.0;11.0;818;1;1;2
LocalListener;1.0;1.0;3.0;182;0;0;3
SlidingCategoryDataset;32.0;2.0;7.0;288;1;0;1
XYTitleAnnotationTest;5.0;1.0;9.0;182;0;0;3
MultipleXYSeriesLabelGenerator;19.0;1.0;7.0;166;1;1;2
StandardXYURLGenerator;12.0;1.0;8.0;110;1;1;2
PlumNeedleTest;3.0;1.0;2.0;182;0;0;3
XYToolTipGenerator;0;0;0;16;1;1;2
LocalListener;1.0;1.0;3.0;182;0;0;3
TimePeriod;0;0;0;20;1;1;2
MyComparableObjectSeries;4.0;3.0;3.0;182;0;0;3
WaferMapRenderer;45.0;2.0;8.0;290;1;0;1
WaterfallBarRendererTest;6.0;1.0;4.0;182;0;0;3
ItemLabelPositionTest;2.0;1.0;2.0;182;0;0;3
NumberAxisTest;12.0;1.0;15.0;182;0;0;2
HistogramDataset;42.0;5.0;10.0;409;1;1;2
Block;0;0;0;62;1;1;2
DialScale;0;0;0;29;1;1;2
XYAreaRendererState;1.0;3.0;3.0;19;0;0;0
XYIntervalDataItemTest;4.0;1.0;3.0;182;0;0;3
CombinedRangeXYPlot;78.0;3.0;22.0;593;1;1;2
DatasetTags;0;0;0;17;0;0;0
XYItemLabelGenerator;0;0;0;17;1;1;2
KeyToGroupMap;33.0;1.0;8.0;242;0;1;1
MyDialLayerChangeListener;2.0;1.0;12.0;182;0;0;3
TaskSeriesTest;4.0;1.0;3.0;182;0;0;3
XYRangeInfo;0;0;0;21;1;0;1
DateTickUnitTest;3.0;1.0;3.0;182;0;0;3
KeyHandler;9.0;2.0;4.0;98;1;0;1
LengthConstraintType;11.0;1.0;14.0;85;0;0;0
AreaRendererEndTypeTest;2.0;1.0;2.0;182;0;0;3
Range;50.0;1.0;141.0;383;1;1;2
DefaultMultiValueCategoryDataset;41.0;2.0;10.0;332;1;1;2
IntervalMarkerTest;6.0;1.0;8.0;182;0;0;3
CombinedDomainCategoryPlot;71.0;3.0;20.0;557;1;1;2
TimePeriodAnchorTest;2.0;1.0;2.0;182;0;0;3
DefaultIntervalCategoryDatasetTest;20.0;1.0;4.0;182;0;0;3
TaskSeriesCollectionTest;27.0;1.0;6.0;182;0;0;1
XisSymbolic;0;0;0;30;0;0;0
CategoryLabelPosition;20.0;1.0;9.0;188;0;1;1
LegendTitleTest;4.0;1.0;8.0;182;0;0;3
RectangleConstraintTest;1.0;1.0;4.0;182;0;0;3
PlotTest;1.0;1.0;5.0;182;0;0;3
LineChartTest;6.0;1.0;13.0;182;0;0;3
TextLine;27.0;1.0;7.0;198;0;0;1
DatasetGroupTest;1.0;1.0;2.0;182;0;0;3
ChartFrame;4.0;6.0;2.0;43;0;0;0
TimePeriodValuesCollection;40.0;5.0;13.0;360;1;1;2
